Data;Abertura;Maximo;Minimo;Fechamento;Volume;Quantidade
04/07/2019;3.941,76;3.945,38;3.919,03;3.936,60;46630041750,00;245.200
03/07/2019;3.999,11;4.013,58;3.952,61;3.962,43;69960094750,00;363.130
02/07/2019;3.980,00;4.019,78;3.955,71;3.982,58;93319061625,00;483.660
01/07/2019;3.971,73;3.987,75;3.947,45;3.980,51;67181969000,00;350.200
28/06/2019;3.963,46;3.990,85;3.952,61;3.989,81;67720625625,00;352.445
27/06/2019;4.001,31;4.013,75;3.958,30;3.958,81;73778728000,00;382.980
26/06/2019;3.974,88;3.997,68;3.971,77;3.983,17;73268615125,00;381.155
25/06/2019;3.968,66;3.998,72;3.959,33;3.986,80;81494966375,00;424.710
24/06/2019;3.960,89;3.979,02;3.947,93;3.964,51;63178430750,00;330.375
21/06/2019;3.972,81;3.987,83;3.954,67;3.964,51;60506225250,00;316.145
19/06/2019;4.007,01;4.028,26;3.981,10;3.981,62;79601865875,00;411.970
18/06/2019;4.019,45;4.022,04;3.991,98;4.004,42;60822543500,00;314.855
17/06/2019;4.040,18;4.070,23;4.025,15;4.032,92;63765651500,00;327.170
14/06/2019;4.000,79;4.059,87;3.991,98;4.041,73;78551520125,00;403.815
13/06/2019;3.995,61;4.010,12;3.979,02;3.994,05;72515831750,00;376.630
12/06/2019;4.003,90;4.017,37;3.973,84;4.012,71;76121818000,00;395.200
11/06/2019;4.027,74;4.031,88;3.987,83;4.002,35;57386047875,00;296.950
10/06/2019;4.042,25;4.047,43;4.014,26;4.033,44;50225800125,00;258.390
07/06/2019;4.029,29;4.034,48;3.996,64;4.025,15;60514492125,00;312.715
06/06/2019;4.022,04;4.036,55;4.004,42;4.028,26;65526621875,00;337.665
05/06/2019;4.005,45;4.052,61;3.985,24;4.029,29;96457623625,00;497.840
04/06/2019;4.038,10;4.039,14;3.997,68;4.003,38;73812400875,00;380.960
03/06/2019;4.083,71;4.086,82;4.032,92;4.036,03;72685915125,00;371.930
31/05/2019;4.152,63;4.154,19;4.061,42;4.078,53;119401787500,00;604.485
30/05/2019;4.127,21;4.151,11;4.110,58;4.138,64;88128256875,00;443.915
29/05/2019;4.198,92;4.200,48;4.125,13;4.131,37;88810327875,00;444.730
28/05/2019;4.204,12;4.214,51;4.169,82;4.184,89;75747387125,00;376.125
27/05/2019;4.173,98;4.204,12;4.164,11;4.204,12;34428047625,00;170.965
24/05/2019;4.201,00;4.209,32;4.168,78;4.184,37;69238904500,00;343.595
23/05/2019;4.219,71;4.234,26;4.186,97;4.203,60;81836176750,00;403.990
22/05/2019;4.202,56;4.214,51;4.168,26;4.203,08;90807037750,00;450.390
21/05/2019;4.257,65;4.279,47;4.196,32;4.202,56;96550656750,00;473.910
20/05/2019;4.254,01;4.289,35;4.243,61;4.262,84;83068890875,00;404.810
17/05/2019;4.223,87;4.280,51;4.212,95;4.268,04;114042822250,00;557.395
16/05/2019;4.166,18;4.220,23;4.157,87;4.213,99;85400426375,00;424.255
15/05/2019;4.167,74;4.186,45;4.136,56;4.166,18;91027499250,00;454.515
14/05/2019;4.157,35;4.159,43;4.129,29;4.140,20;79947731375,00;401.245
13/05/2019;4.137,60;4.169,82;4.136,56;4.161,51;95486024500,00;478.075
10/05/2019;4.107,46;4.137,60;4.099,15;4.113,70;88357337375,00;446.035
09/05/2019;4.108,50;4.145,92;4.094,99;4.110,58;89832028750,00;452.845
08/05/2019;4.143,84;4.144,36;4.088,23;4.091,35;85183050750,00;431.755
07/05/2019;4.129,81;4.166,70;4.129,29;4.136,56;84691147875,00;424.370
06/05/2019;4.129,81;4.140,72;4.112,66;4.131,37;61050275500,00;307.470
03/05/2019;4.129,81;4.133,96;4.095,51;4.103,30;59726378625,00;302.280
02/05/2019;4.099,15;4.138,12;4.090,83;4.134,48;76323874375,00;384.560
30/04/2019;4.095,51;4.123,57;4.077,32;4.082,00;77220360875,00;391.500
29/04/2019;4.090,79;4.111,62;4.084,02;4.111,62;56595424625,00;287.595
26/04/2019;4.123,08;4.141,82;4.084,02;4.093,39;84662113125,00;430.100
25/04/2019;4.170,99;4.175,15;4.112,14;4.116,31;77175131125,00;388.465
24/04/2019;4.084,02;4.161,61;4.083,50;4.159,53;97883484500,00;493.055
23/04/2019;4.097,56;4.130,89;4.077,25;4.085,06;75584450625,00;383.450
22/04/2019;4.091,31;4.105,37;4.078,81;4.101,72;39233416250,00;199.725
18/04/2019;4.089,23;4.119,43;4.069,96;4.083,50;73143779375,00;371.700
17/04/2019;4.054,85;4.115,26;4.051,21;4.102,24;76766589500,00;390.990
16/04/2019;4.041,31;4.073,60;4.039,23;4.069,44;61839413500,00;317.465
15/04/2019;4.047,56;4.056,42;4.023,61;4.036,63;62334390000,00;321.625
12/04/2019;4.049,65;4.074,64;4.024,65;4.046,52;77980419250,00;401.780
11/04/2019;4.001,73;4.028,81;3.995,48;4.022,56;58688153625,00;304.725
10/04/2019;4.000,69;4.013,71;3.978,82;3.989,75;64063945125,00;334.090
09/04/2019;4.017,36;4.030,90;4.012,15;4.015,79;55831018500,00;289.175
08/04/2019;4.034,54;4.044,44;4.008,50;4.015,79;50800431875,00;262.805
05/04/2019;4.023,08;4.045,48;4.009,54;4.040,27;51932494000,00;268.450
04/04/2019;4.039,23;4.056,94;4.015,27;4.019,44;63380323125,00;327.280
03/04/2019;4.000,69;4.050,69;3.999,65;4.037,15;64670913000,00;335.025
02/04/2019;4.019,96;4.048,08;4.016,31;4.021,00;68970038750,00;356.390
01/04/2019;4.062,14;4.062,66;4.016,84;4.019,96;61716980625,00;318.225
29/03/2019;4.051,73;4.104,85;4.036,10;4.091,31;86727050375,00;444.335
28/03/2019;4.168,08;4.194,18;4.069,95;4.073,08;115040379250,00;582.260
27/03/2019;4.086,13;4.177,48;4.076,73;4.169,13;127663035875,00;648.010
26/03/2019;4.019,32;4.050,64;4.003,66;4.048,03;75459726875,00;390.550
25/03/2019;4.110,14;4.111,19;4.014,10;4.021,40;94978588000,00;489.380
22/03/2019;4.040,20;4.089,78;4.024,54;4.079,87;113684093125,00;585.275
21/03/2019;3.950,41;4.007,83;3.931,10;3.960,33;101118968000,00;531.780
20/03/2019;3.951,46;3.967,64;3.904,48;3.942,58;85857386000,00;454.965
19/03/2019;3.953,02;3.968,68;3.932,67;3.957,20;64620639625,00;341.815
18/03/2019;3.975,47;3.998,44;3.953,02;3.961,90;52545765875,00;276.005
15/03/2019;4.008,88;4.044,89;3.978,08;3.983,30;74563384250,00;388.895
14/03/2019;3.994,26;4.028,19;3.989,04;4.015,14;65497578000,00;341.015
13/03/2019;3.971,29;4.007,83;3.970,77;3.986,43;74593539125,00;390.070
12/03/2019;4.015,66;4.018,27;3.974,42;3.984,34;60801014375,00;318.410
11/03/2019;4.028,71;4.034,98;4.007,83;4.012,53;58736594625,00;305.170
08/03/2019;4.043,33;4.080,91;4.025,06;4.042,81;74859898375,00;386.340
07/03/2019;4.014,10;4.080,91;3.990,61;4.047,50;106578972375,00;550.915
06/03/2019;3.970,25;4.020,36;3.953,55;4.015,14;53860920000,00;281.565
01/03/2019;3.921,18;3.969,20;3.917,01;3.946,76;74186425375,00;391.845
28/02/2019;3.906,57;3.930,58;3.887,25;3.923,27;99766372375,00;532.410
27/02/2019;3.917,56;3.919,65;3.892,98;3.900,30;72005355125,00;385.760
26/02/2019;3.926,98;3.940,05;3.911,29;3.916,52;71545700375,00;381.165
25/02/2019;3.907,10;3.924,89;3.891,41;3.924,89;51098432625,00;273.760
22/02/2019;3.932,73;3.940,05;3.899,26;3.921,75;58445877250,00;312.325
21/02/2019;3.894,03;3.947,38;3.887,23;3.943,71;78567195125,00;418.215
20/02/2019;3.893,50;3.911,29;3.862,12;3.898,73;72034160375,00;387.510
19/02/2019;3.912,33;3.919,65;3.876,77;3.897,69;57248902000,00;307.855
18/02/2019;3.894,55;3.917,56;3.885,13;3.908,15;32348623250,00;173.315
15/02/2019;3.897,16;3.901,35;3.873,10;3.874,15;58467347125,00;314.640
14/02/2019;3.926,98;3.974,05;3.889,32;3.898,73;104188264125,00;553.505
13/02/2019;3.890,36;3.939,53;3.888,27;3.931,68;76960837750,00;411.185
12/02/2019;3.923,32;3.924,89;3.877,81;3.885,13;73131614250,00;392.530
11/02/2019;3.913,38;3.954,18;3.905,01;3.936,39;67282071875,00;358.250
08/02/2019;3.890,36;3.926,45;3.878,86;3.907,10;71578981250,00;383.905
07/02/2019;3.880,43;3.914,95;3.876,24;3.894,03;81083378000,00;435.590
06/02/2019;3.856,37;3.891,93;3.856,37;3.873,63;61453969500,00;331.745
05/02/2019;3.839,11;3.859,51;3.835,45;3.842,77;51934094250,00;282.385
04/02/2019;3.841,20;3.863,69;3.834,40;3.843,29;47449747875,00;258.030
01/02/2019;3.826,55;3.857,41;3.807,20;3.833,88;69878502625,00;381.110
31/01/2019;3.846,43;3.857,94;3.810,86;3.818,71;103595985125,00;566.305
30/01/2019;3.895,67;3.913,50;3.852,68;3.863,69;75465258000,00;406.840
29/01/2019;3.947,58;3.948,63;3.896,20;3.900,92;67427417000,00;361.100
28/01/2019;3.961,74;3.971,70;3.933,95;3.944,43;66856348000,00;354.920
24/01/2019;3.958,07;3.980,61;3.921,36;3.956,49;73896046875,00;391.890
23/01/2019;3.985,33;3.998,96;3.940,24;3.950,73;67884836875,00;358.025
22/01/2019;3.951,25;4.005,25;3.929,75;4.005,25;67953400250,00;359.595
21/01/2019;3.943,91;3.965,93;3.938,14;3.938,14;25618281250,00;135.935
18/01/2019;3.930,80;3.958,59;3.910,35;3.937,09;58478043000,00;311.730
17/01/2019;3.918,74;3.959,64;3.910,35;3.934,47;77533462625,00;412.590
16/01/2019;3.898,82;3.921,89;3.891,48;3.920,32;53750980750,00;288.420
15/01/2019;3.887,28;3.916,65;3.877,32;3.900,39;59485243625,00;320.170
14/01/2019;3.903,01;3.919,79;3.866,84;3.881,52;54424217375,00;292.830
11/01/2019;3.878,89;3.915,07;3.875,75;3.895,67;53557621375,00;288.235
10/01/2019;3.876,27;3.911,40;3.858,97;3.896,20;70768874000,00;382.305
09/01/2019;3.892,53;3.896,72;3.858,97;3.864,74;64177674875,00;347.475
08/01/2019;3.927,13;3.930,28;3.889,38;3.898,82;54883365250,00;294.680
07/01/2019;3.903,01;3.925,56;3.875,22;3.923,46;67881591875,00;365.160
04/01/2019;3.932,37;3.975,37;3.896,20;3.902,49;79455831875,00;424.040
03/01/2019;3.989,00;4.000,54;3.927,13;3.946,01;71632283875,00;379.740
02/01/2019;4.077,09;4.093,86;3.974,32;3.974,84;69742107750,00;363.175
28/12/2018;4.071,84;4.090,72;4.022,56;4.082,85;71973852375,00;371.090
27/12/2018;4.119,09;4.135,88;4.061,88;4.066,60;55822588375,00;285.395
26/12/2018;4.093,89;4.133,26;4.086,02;4.113,84;54513843750,00;278.190
21/12/2018;4.047,71;4.099,14;4.035,63;4.095,99;65369889000,00;337.770
20/12/2018;4.060,83;4.068,70;4.024,09;4.033,01;64725160750,00;336.275
19/12/2018;4.095,47;4.108,06;4.056,63;4.090,74;70759859875,00;364.265
18/12/2018;4.092,84;4.112,79;4.078,15;4.107,54;72903481500,00;373.710
17/12/2018;4.103,86;4.124,86;4.072,90;4.093,89;56259205875,00;288.070
14/12/2018;4.108,06;4.117,51;4.084,45;4.113,31;52647951750,00;269.625
13/12/2018;4.051,38;4.093,89;4.045,61;4.086,54;56980898750,00;293.550
12/12/2018;4.091,79;4.095,47;4.029,86;4.048,75;73410836250,00;380.140
11/12/2018;4.100,19;4.121,71;4.084,97;4.101,24;58352280875,00;298.515
10/12/2018;4.100,72;4.144,28;4.087,59;4.115,41;63178750875,00;322.190
07/12/2018;4.076,57;4.123,28;4.052,43;4.104,39;70985397625,00;364.930
06/12/2018;4.090,74;4.142,70;4.068,70;4.075,52;89697626375,00;458.580
05/12/2018;4.041,41;4.080,25;4.029,34;4.065,03;49561347750,00;256.570
04/12/2018;4.021,46;4.063,45;4.011,49;4.046,66;67288401500,00;350.305
03/12/2018;4.016,21;4.040,88;4.008,87;4.035,11;58108954250,00;303.170
30/11/2018;4.057,15;4.086,54;4.034,06;4.056,10;88411545625,00;457.240
29/11/2018;4.042,96;4.076,63;4.032,96;4.051,90;80845014750,00;419.615
28/11/2018;4.084,00;4.090,84;4.031,38;4.050,33;80436425625,00;416.990
27/11/2018;4.128,72;4.129,77;4.065,06;4.077,69;69988686250,00;359.635
26/11/2018;4.019,81;4.152,93;4.017,70;4.144,51;88512485875,00;456.170
23/11/2018;4.015,60;4.031,91;3.994,55;4.028,23;44704071000,00;234.400
22/11/2018;3.988,77;4.026,65;3.988,77;4.000,34;37105304125,00;194.735
21/11/2018;3.970,35;4.003,50;3.966,14;3.997,18;66226995875,00;349.800
19/11/2018;3.944,57;3.971,93;3.940,89;3.955,62;49607926250,00;263.840
16/11/2018;3.975,09;3.984,03;3.928,78;3.942,46;57985462125,00;308.970
14/11/2018;3.999,81;4.024,02;3.968,25;3.986,13;94567001375,00;498.480
13/11/2018;3.959,83;4.037,70;3.955,62;4.006,65;92638924625,00;487.720
12/11/2018;3.949,30;3.971,93;3.937,20;3.969,30;40317736875,00;214.675
09/11/2018;3.972,45;3.978,24;3.926,15;3.933,52;63265733125,00;337.060
08/11/2018;3.941,94;3.966,14;3.917,21;3.962,46;66299308750,00;353.680
07/11/2018;3.935,62;3.992,45;3.924,05;3.933,52;76679323625,00;407.795
06/11/2018;3.929,84;3.974,56;3.929,84;3.965,09;62160141500,00;330.855
05/11/2018;3.894,58;3.935,62;3.891,95;3.928,78;53817581500,00;289.620
01/11/2018;3.900,37;3.916,16;3.880,90;3.898,79;63991506875,00;345.570
31/10/2018;3.887,22;3.951,41;3.886,69;3.926,68;91844163875,00;492.710
30/10/2018;3.895,62;3.943,64;3.881,37;3.901,42;100608179625,00;542.855
29/10/2018;3.784,80;3.929,39;3.781,10;3.924,12;107408163250,00;587.290
26/10/2018;3.931,50;3.937,84;3.842,85;3.846,01;76413571875,00;415.805
25/10/2018;3.923,59;3.941,00;3.887,70;3.913,56;73195621625,00;395.000
24/10/2018;3.905,12;3.955,25;3.887,70;3.941,00;70463266125,00;378.955
23/10/2018;3.899,84;3.930,98;3.892,98;3.899,84;60548930500,00;326.835
22/10/2018;3.903,54;3.928,87;3.875,57;3.894,56;54828285625,00;297.090
19/10/2018;3.913,56;3.936,25;3.895,09;3.923,59;57130480000,00;307.890
18/10/2018;3.901,42;3.942,06;3.880,32;3.931,50;65490006125,00;353.495
17/10/2018;3.952,61;3.957,89;3.871,34;3.895,62;67595241000,00;365.655
16/10/2018;3.934,67;3.942,06;3.899,84;3.936,78;60065639500,00;323.290
15/10/2018;3.971,08;3.979,00;3.924,12;3.947,86;51336543250,00;274.590
11/10/2018;3.929,92;4.002,75;3.926,23;3.999,58;76995008375,00;409.775
10/10/2018;3.949,45;3.984,28;3.936,78;3.970,56;76150599875,00;405.485
09/10/2018;4.000,11;4.008,02;3.913,03;3.928,34;79635341250,00;425.900
08/10/2018;3.942,06;4.000,11;3.922,53;3.991,66;83256724875,00;443.095
05/10/2018;4.063,43;4.118,84;4.057,63;4.057,63;73810758000,00;381.040
04/10/2018;4.147,87;4.161,59;4.096,15;4.097,21;85267966250,00;435.550
03/10/2018;4.077,15;4.147,34;4.042,85;4.126,23;112143976000,00;578.755
02/10/2018;4.216,47;4.228,61;4.130,98;4.169,51;93966297625,00;475.160
01/10/2018;4.275,58;4.297,21;4.235,47;4.250,25;70722714375,00;350.505
28/09/2018;4.271,36;4.291,41;4.219,11;4.281,38;97112983625,00;482.495
27/09/2018;4.271,93;4.287,79;4.194,21;4.244,97;117146814125,00;585.090
26/09/2018;4.313,70;4.329,03;4.239,68;4.266,65;92349002625,00;456.230
25/09/2018;4.362,87;4.380,32;4.302,07;4.311,06;82480130625,00;400.915
24/09/2018;4.295,20;4.333,26;4.269,82;4.328,50;63379995875,00;311.470
21/09/2018;4.319,52;4.333,26;4.261,89;4.286,74;78769541000,00;387.650
20/09/2018;4.351,24;4.361,81;4.306,83;4.313,17;74657909750,00;364.420
19/09/2018;4.416,80;4.419,97;4.338,55;4.367,10;63727172875,00;308.245
18/09/2018;4.370,27;4.408,34;4.360,23;4.406,22;60955646625,00;294.445
17/09/2018;4.431,60;4.450,11;4.358,11;4.377,15;66411259625,00;318.990
14/09/2018;4.454,34;4.459,09;4.403,58;4.419,44;64477129250,00;308.055
13/09/2018;4.389,31;4.457,51;4.369,21;4.455,92;81264154375,00;389.355
12/09/2018;4.367,10;4.412,57;4.352,82;4.408,34;68951916000,00;333.350
11/09/2018;4.382,43;4.425,79;4.377,67;4.397,76;71711135375,00;344.355
10/09/2018;4.306,83;4.372,92;4.294,67;4.329,56;65095390625,00;317.205
06/09/2018;4.381,90;4.413,63;4.277,75;4.302,60;86590446625,00;419.235
05/09/2018;4.430,02;4.436,89;4.358,64;4.393,01;76542314125,00;367.845
04/09/2018;4.442,18;4.445,88;4.386,13;4.410,45;87675995375,00;420.075
03/09/2018;4.342,25;4.410,98;4.330,09;4.406,75;43163406250,00;208.525
31/08/2018;4.419,97;4.428,43;4.296,78;4.296,78;105598245250,00;511.620
30/08/2018;4.391,75;4.489,73;4.388,55;4.419,97;118037238750,00;566.850
29/08/2018;4.437,01;4.438,08;4.373,64;4.377,37;85080153750,00;411.405
28/08/2018;4.340,09;4.419,97;4.331,04;4.411,98;80389758000,00;389.940
27/08/2018;4.378,97;4.387,49;4.316,13;4.349,14;61184983875,00;299.895
24/08/2018;4.363,52;4.405,59;4.342,22;4.374,71;85798352125,00;418.575
23/08/2018;4.334,23;4.400,80;4.307,61;4.385,89;88010134500,00;430.325
22/08/2018;4.313,47;4.361,39;4.298,55;4.308,14;100994149375,00;496.030
21/08/2018;4.220,81;4.321,45;4.218,14;4.318,79;96479605375,00;482.260
20/08/2018;4.178,74;4.236,25;4.175,01;4.231,99;59140829125,00;299.075
17/08/2018;4.194,18;4.217,08;4.170,22;4.173,94;79427276000,00;403.000
16/08/2018;4.146,78;4.188,85;4.126,55;4.168,09;79526723500,00;407.975
15/08/2018;4.161,16;4.190,98;4.139,33;4.164,36;92275566500,00;471.720
14/08/2018;4.120,69;4.165,42;4.118,56;4.126,55;76008758375,00;391.210
13/08/2018;4.155,30;4.194,18;4.139,86;4.145,72;88532191500,00;452.735
10/08/2018;4.094,60;4.135,60;4.083,41;4.119,63;79558889625,00;411.900
09/08/2018;4.046,67;4.079,15;4.032,82;4.058,92;67129453750,00;352.375
08/08/2018;4.015,25;4.029,10;3.988,62;4.027,50;58041386000,00;308.270
07/08/2018;3.969,99;4.028,56;3.955,07;4.007,26;70035454000,00;374.075
06/08/2018;3.952,94;3.992,35;3.943,36;3.992,35;38386226125,00;205.680
03/08/2018;4.001,40;4.007,26;3.953,48;3.960,93;62085332875,00;332.630
02/08/2018;4.035,49;4.041,34;4.006,73;4.007,79;46742806500,00;247.465
01/08/2018;4.012,06;4.028,56;3.987,03;4.006,73;54579298625,00;290.080
31/07/2018;3.981,70;4.022,71;3.980,10;4.013,12;66268777500,00;351.950
30/07/2018;3.956,50;3.994,49;3.955,97;3.991,82;49990947125,00;268.805
27/07/2018;4.005,73;4.007,87;3.967,74;3.970,42;55374194375,00;297.500
26/07/2018;3.965,06;4.013,22;3.960,78;4.010,55;57071930875,00;306.255
25/07/2018;3.998,78;3.999,31;3.949,55;3.949,55;60483840000,00;325.800
24/07/2018;4.041,05;4.045,33;3.997,17;4.014,29;59087689500,00;314.905
23/07/2018;4.044,79;4.073,69;4.041,05;4.051,75;44751959875,00;235.945
20/07/2018;4.084,39;4.088,14;4.027,67;4.038,37;68009895250,00;359.270
19/07/2018;4.147,00;4.171,61;4.096,70;4.104,72;70567977000,00;364.275
18/07/2018;4.129,87;4.141,11;4.093,49;4.127,73;55796915750,00;289.940
17/07/2018;4.150,21;4.158,23;4.114,36;4.114,36;51063632625,00;264.155
16/07/2018;4.117,03;4.151,81;4.111,68;4.137,90;46625377250,00;241.225
13/07/2018;4.167,87;4.182,85;4.122,38;4.128,80;58610927250,00;302.360
12/07/2018;4.136,30;4.185,52;4.114,36;4.164,12;70303160250,00;363.030
11/07/2018;4.119,17;4.167,33;4.090,81;4.158,77;66409823500,00;344.215
10/07/2018;4.167,33;4.168,94;4.069,41;4.094,56;73078106125,00;380.240
06/07/2018;4.230,47;4.241,17;4.141,65;4.145,39;57975513125,00;295.260
05/07/2018;4.181,24;4.229,94;4.170,01;4.219,77;55301593750,00;281.415
04/07/2018;4.184,99;4.205,86;4.170,01;4.198,90;23385931750,00;119.425
03/07/2018;4.168,40;4.187,13;4.156,09;4.182,85;44688002250,00;229.095
02/07/2018;4.178,57;4.206,39;4.165,19;4.200,51;51178045625,00;261.370
